rule,wolfram_class,disputed,strict,break_by_8,median_gen_sweeps,mean_survival,library_size,library,support_masks,d_lambda,d_asymmetry,d_quiescent,d_sensitivity,n_futures
0,1,False,0.0,0.0,128.0,0,0,,,0.0,0.0,0.0,0.0,16
1,2,False,0.0,0.8125,6.0,32,1,64,32771,0.125,0.0,1.0,0.25,16
2,2,False,0.0,0.1875,12.0,32,3,1|2|3,5|17|21,0.125,0.25,0.0,0.25,16
3,2,False,0.0,1.0,5.0,32,2,65|70,33027|36873,0.25,0.25,1.0,0.3333333333333333,16
4,2,False,0.0,0.875,128.0,32,2,1|2,5|17,0.125,0.0,0.0,0.25,16
5,2,False,0.0,1.0,8.0,32,1,67,33825,0.25,0.0,1.0,0.3333333333333333,16
6,2,False,0.0,1.0,12.0,32,2,6|7,259|263,0.25,0.25,0.0,0.5,16
7,2,False,0.3125,1.0,5.0,32,1,63,32769,0.375,0.25,1.0,0.4166666666666667,16
8,1,False,0.0,0.125,128.0,0.4375,1,0,1,0.125,0.25,0.0,0.25,16
9,2,False,0.0,0.9375,7.0,32,3,7|65|66,263|33027|33031,0.25,0.25,1.0,0.5,16
10,2,False,0.0,0.375,11.0,32,4,3|4|6|9,21|23|259|275,0.25,0.5,0.0,0.3333333333333333,16
11,2,False,0.625,0.9375,7.0,32,1,28,4616,0.375,0.5,1.0,0.4166666666666667,16
12,2,False,0.0,0.75,128.0,32,1,3,21,0.25,0.25,0.0,0.3333333333333333,16
13,2,False,0.8125,0.875,128.0,32,1,16,1056,0.375,0.25,1.0,0.4166666666666667,16
14,2,False,1.0,1.0,10.0,32,1,24,4168,0.375,0.5,0.0,0.4166666666666667,16
15,2,False,0.0,0.9375,8.0,32,4,50|75|83|87,14940|45769|53643|59539,0.5,0.5,1.0,0.3333333333333333,16
18,3,False,0.0,1.0,8.0,32,1,4,23,0.25,0.0,0.0,0.5,16
19,2,False,0.0625,1.0,5.0,32,1,63,32769,0.375,0.0,1.0,0.4166666666666667,16
22,3,False,0.0,0.9375,8.0,32,2,7|10,263|279,0.375,0.0,0.0,0.75,16
23,2,False,0.0625,0.8125,5.0,32,1,63,32769,0.5,0.0,1.0,0.5,16
24,2,False,0.0,0.125,12.0,32,2,1|2,5|17,0.25,0.5,0.0,0.5,16
25,2,False,0.0,0.9375,6.0,32,2,11|27,295|4359,0.375,0.5,1.0,0.5833333333333334,16
26,2,True,0.0,1.0,7.0,32,3,15|19|20,1047|1111|1141,0.375,0.25,0.0,0.5833333333333334,16
27,2,False,0.0,1.0,5.0,32,3,77|85|86,49283|57473|59521,0.5,0.25,1.0,0.5,16
28,2,False,1.0,1.0,34.5,32,1,16,1056,0.375,0.5,0.0,0.5833333333333334,16
29,2,False,0.0,0.9375,11.0,32,3,22|43|69,3124|11300|35876,0.5,0.5,1.0,0.5,16
30,3,False,0.0,1.0,8.0,32,4,45|62|78|89,11829|31428|49563|59779,0.5,0.25,0.0,0.6666666666666666,16
32,1,False,0.0,0.0,128.0,1.125,0,,,0.125,0.0,0.0,0.25,16
33,2,False,0.0625,0.9375,6.0,32,2,64|65,32771|33027,0.25,0.0,1.0,0.5,16
34,2,False,0.0625,0.25,8.0,32,1,3,21,0.25,0.25,0.0,0.3333333333333333,16
35,2,False,0.3125,0.5,6.0,32,4,13|14|29|30,532|534|4628|4629,0.375,0.25,1.0,0.4166666666666667,16
36,2,False,0.0,0.125,128.0,30.3125,1,0,1,0.25,0.0,0.0,0.5,16
37,2,False,0.0,0.9375,6.0,32,2,8|26,267|4355,0.375,0.0,1.0,0.5833333333333334,16
38,2,False,0.0,0.5625,10.0,32,1,7,263,0.375,0.25,0.0,0.5833333333333334,16
40,1,False,0.0,0.3125,128.0,0.5625,1,0,1,0.25,0.25,0.0,0.5,16
41,4,True,0.0,1.0,7.0,32,1,10,279,0.375,0.25,1.0,0.75,16
42,2,False,0.0,0.4375,8.0,32,2,5|10,87|279,0.375,0.5,0.0,0.4166666666666667,16
43,2,False,0.25,0.75,8.0,32,2,24|28,4168|4616,0.5,0.5,1.0,0.5,16
44,2,False,0.1875,1.0,128.0,32,1,2,17,0.375,0.25,0.0,0.5833333333333334,16
45,3,False,0.0,1.0,8.0,32,4,33|56|60|71,5467|20903|27082|37323,0.5,0.25,1.0,0.6666666666666666,16
