matrix_id,contract_id,exposure,overshoot,fission,daughter,grid_id,beta_multiplier,leave_multiplier,f12_rate,strict8_rate,break_rate,recovery_given_break,terminal_cross_similarity,damage_exponent,completion,twin_completion
0,e0_o0_f0_d0,0,0,0,0,b0p125_l0p5,0.125,0.5,0.75,0.08333333333333333,0.8333333333333334,0.9,0.3812712924438712,-0.20117974281311035,1.0,1.0
0,e0_o0_f0_d0,0,0,0,0,b0p25_l0p5,0.25,0.5,0.4166666666666667,0.0,0.5833333333333334,0.7142857142857143,0.40848499030530133,0.03716658428311348,1.0,1.0
0,e0_o0_f0_d0,0,0,0,0,b0p5_l0p5,0.5,0.5,0.5833333333333334,0.08333333333333333,0.6666666666666666,0.875,0.44149906850999887,-0.07432463765144348,1.0,1.0
0,e0_o0_f0_d0,0,0,0,0,b1p0_l0p5,1.0,0.5,0.4166666666666667,0.08333333333333333,0.5,0.8333333333333334,0.5445336543248728,-0.05549192428588867,1.0,1.0
0,e0_o0_f0_d0,0,0,0,0,b2p0_l0p5,2.0,0.5,0.3333333333333333,0.0,0.3333333333333333,1.0,0.419529498209788,0.07548175007104874,1.0,1.0
0,e0_o0_f0_d0,0,0,0,0,b4p0_l0p5,4.0,0.5,0.75,0.0,0.75,1.0,0.4764448248251595,0.22750824689865112,1.0,1.0
0,e0_o0_f0_d0,0,0,0,0,b8p0_l0p5,8.0,0.5,0.08333333333333333,0.0,0.25,0.3333333333333333,0.4481412408008419,-0.01606927253305912,1.0,1.0
0,e0_o0_f0_d0,0,0,0,0,b0p125_l1p0,0.125,1.0,0.6666666666666666,0.0,0.75,0.8888888888888888,0.43472436871134407,-0.07432463765144348,1.0,1.0
0,e0_o0_f0_d0,0,0,0,0,b0p25_l1p0,0.25,1.0,0.5,0.0,0.6666666666666666,0.75,0.46299294830748683,-0.20117974281311035,1.0,1.0
0,e0_o0_f0_d0,0,0,0,0,b0p5_l1p0,0.5,1.0,0.6666666666666666,0.0,0.6666666666666666,1.0,0.5070748940841991,-0.20117974281311035,1.0,1.0
0,e0_o0_f0_d0,0,0,0,0,b1p0_l1p0,1.0,1.0,0.6666666666666666,0.0,0.6666666666666666,1.0,0.32998185654191303,-0.10962871462106705,1.0,1.0
0,e0_o0_f0_d0,0,0,0,0,b2p0_l1p0,2.0,1.0,0.4166666666666667,0.0,0.5,0.8333333333333334,0.3587507450642812,-0.05549192428588867,1.0,1.0
0,e0_o0_f0_d0,0,0,0,0,b4p0_l1p0,4.0,1.0,0.5,0.0,0.6666666666666666,0.75,0.5072160719898645,-0.03575091436505318,1.0,1.0
0,e0_o0_f0_d0,0,0,0,0,b8p0_l1p0,8.0,1.0,0.3333333333333333,0.08333333333333333,0.3333333333333333,1.0,0.4979882894357541,-0.06705991178750992,1.0,1.0
