candidate,matrix_id,grid_id,kind,donor_order,arm,capture16,capture32,arrival8,occupancy,maximum_residence,completion,same_h_f8,same_h_f16,same_h_f32,cross_h_f8,cross_h_f16,cross_h_f32
02,0,b1p0_l0p5,f12,0,native_a,0.0,0.0,0.7083333333333334,0.03125,0.875,1.0,,,,,,
02,0,b1p0_l0p5,f12,0,native_b,0.0,0.0,0.7083333333333334,0.0234375,0.75,1.0,,,,,,
02,0,b1p0_l0p5,f12,0,permuted,0.0,0.0,0.0,0.0052083334885537624,0.16666666666666666,1.0,,,,,,
02,0,b1p0_l0p5,f12,0,natural,0.0,0.0,0.0,0.0052083334885537624,0.16666666666666666,1.0,,,,,,
02,0,b1p0_l0p5,f12,0,fork_comparison,,,,,,,0.3541187833060382,0.31620679550046044,0.3488534828474275,0.34098485275305795,0.3149612083434054,0.31406728817515545
02,0,b1p0_l0p5,f12,1,native_a,0.0,0.0,0.16666666666666666,0.0052083334885537624,0.16666666666666666,1.0,,,,,,
02,0,b1p0_l0p5,f12,1,native_b,0.0,0.0,0.041666666666666664,0.0013020833721384406,0.041666666666666664,1.0,,,,,,
02,0,b1p0_l0p5,f12,1,permuted,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,
02,0,b1p0_l0p5,f12,1,natural,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,
02,0,b1p0_l0p5,f12,1,fork_comparison,,,,,,,0.42186347559244197,0.27672138238173233,0.3463542845603811,0.3790578998508794,0.37376046616528064,0.40292724422200804
02,0,b1p0_l0p5,strict8,0,native_a,0.0,0.0,1.0,0.1432291716337204,2.9583333333333335,1.0,,,,,,
02,0,b1p0_l0p5,strict8,0,native_b,0.041666666666666664,0.041666666666666664,1.0,0.1927083283662796,3.5833333333333335,1.0,,,,,,
02,0,b1p0_l0p5,strict8,0,permuted,0.0,0.0,0.4166666666666667,0.11328125,2.2916666666666665,1.0,,,,,,
02,0,b1p0_l0p5,strict8,0,fork_comparison,,,,,,,0.32083602529500893,0.3354091798205952,0.42954094904538254,0.0,0.0,0.0
02,0,b1p0_l1p0,f12,0,native_a,0.0,0.0,0.125,0.0052083334885537624,0.16666666666666666,1.0,,,,,,
02,0,b1p0_l1p0,f12,0,native_b,0.0,0.0,0.20833333333333334,0.010416666977107525,0.25,1.0,,,,,,
02,0,b1p0_l1p0,f12,0,permuted,0.0,0.0,0.041666666666666664,0.0065104165114462376,0.16666666666666666,1.0,,,,,,
02,0,b1p0_l1p0,f12,0,natural,0.0,0.0,0.041666666666666664,0.0052083334885537624,0.125,1.0,,,,,,
02,0,b1p0_l1p0,f12,0,fork_comparison,,,,,,,0.3007622292675075,0.26276252187611426,0.35200618571882264,0.4013912906480659,0.42548477837683024,0.34366077490197383
02,0,b1p0_l1p0,f12,1,native_a,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,
02,0,b1p0_l1p0,f12,1,native_b,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,
02,0,b1p0_l1p0,f12,1,permuted,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,
02,0,b1p0_l1p0,f12,1,natural,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,
02,0,b1p0_l1p0,f12,1,fork_comparison,,,,,,,0.33680005041656935,0.35340468116583484,0.4532702862347906,0.3402280637629989,0.34471702723986936,0.3465756490743445
02,0,b1p0_l1p0,strict8,0,native_a,0.0,0.0,0.5,0.1028645858168602,2.25,1.0,,,,,,
02,0,b1p0_l1p0,strict8,0,native_b,0.0,0.0,0.375,0.10546875,2.3333333333333335,1.0,,,,,,
02,0,b1p0_l1p0,strict8,0,permuted,0.0,0.0,0.625,0.1419270783662796,3.0,1.0,,,,,,
02,0,b1p0_l1p0,strict8,0,fork_comparison,,,,,,,0.3022957007245509,0.3575233039606156,0.3953063818526758,0.0,0.0,0.0
02,0,b2p0_l2p0,f12,0,native_a,0.0,0.0,0.08333333333333333,0.00390625,0.125,1.0,,,,,,
02,0,b2p0_l2p0,f12,0,native_b,0.0,0.0,0.041666666666666664,0.00390625,0.125,1.0,,,,,,
02,0,b2p0_l2p0,f12,0,permuted,0.0,0.0,0.0,0.0026041667442768812,0.08333333333333333,1.0,,,,,,
02,0,b2p0_l2p0,f12,0,natural,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,
02,0,b2p0_l2p0,f12,0,fork_comparison,,,,,,,0.31436467739061197,0.3744792748243991,0.39627844833279147,0.37922808766413924,0.38171280875800817,0.35937519921409194
02,0,b2p0_l2p0,f12,1,native_a,0.0,0.0,0.20833333333333334,0.0078125,0.25,1.0,,,,,,
02,0,b2p0_l2p0,f12,1,native_b,0.0,0.0,0.125,0.0052083334885537624,0.16666666666666666,1.0,,,,,,
02,0,b2p0_l2p0,f12,1,permuted,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,
02,0,b2p0_l2p0,f12,1,natural,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,
02,0,b2p0_l2p0,f12,1,fork_comparison,,,,,,,0.4232568014187234,0.28860761544600627,0.3259150239045426,0.38650963521295373,0.3896464652782184,0.42409065303477805
02,0,b4p0_l2p0,f12,0,native_a,0.0,0.0,0.20833333333333334,0.0416666679084301,1.1666666666666667,1.0,,,,,,
02,0,b4p0_l2p0,f12,0,native_b,0.0,0.0,0.16666666666666666,0.0338541679084301,0.9583333333333334,1.0,,,,,,
02,0,b4p0_l2p0,f12,0,permuted,0.0,0.0,0.2916666666666667,0.0494791679084301,1.2916666666666667,1.0,,,,,,
02,0,b4p0_l2p0,f12,0,natural,0.0,0.0,0.08333333333333333,0.0338541679084301,0.75,1.0,,,,,,
02,0,b4p0_l2p0,f12,0,fork_comparison,,,,,,,0.3960356054818832,0.39927108734643396,0.3790954945029445,0.3567576304380104,0.4128769661208649,0.3897174439325548
