rule,wolfram_class,disputed,strict,break_by_8,median_gen_sweeps,mean_survival,library_size,library,support_masks,d_lambda,d_asymmetry,d_quiescent,d_sensitivity,n_futures
136,1,False,0.0,0.5625,128.0,0.875,1,0,1,0.25,0.25,0.0,0.3333333333333333,16
138,2,False,0.5,0.9375,11.0,32,2,4|9,23|275,0.375,0.5,0.0,0.4166666666666667,16
140,2,False,0.25,1.0,128.0,32,1,3,21,0.375,0.25,0.0,0.4166666666666667,16
142,2,False,0.75,0.9375,10.0,32,2,17|32,584|4672,0.5,0.5,0.0,0.5,16
146,3,False,0.0,1.0,8.0,32,1,4,23,0.375,0.0,0.0,0.75,16
150,3,False,0.0,1.0,8.0,32,4,68|75|82|94,34079|39656|50872|63649,0.5,0.0,0.0,1.0,16
152,2,False,1.0,1.0,12.0,32,2,1|2,5|17,0.375,0.5,0.0,0.5833333333333334,16
154,2,True,0.0,1.0,8.0,32,4,44|62|86|89,11385|31369|53901|54154,0.5,0.25,0.0,0.6666666666666666,16
156,2,False,1.0,1.0,38.0,32,1,19,1056,0.5,0.5,0.0,0.6666666666666666,16
160,1,False,0.0,0.5625,128.0,1.1875,1,0,1,0.25,0.0,0.0,0.3333333333333333,16
162,2,False,1.0,1.0,8.0,32,4,3|4|5|18,21|23|53|1045,0.375,0.25,0.0,0.4166666666666667,16
164,2,False,0.9375,1.0,128.0,32,2,0|1,1|5,0.375,0.0,0.0,0.5833333333333334,16
168,1,False,0.0,0.625,128.0,1.3125,1,0,1,0.375,0.25,0.0,0.4166666666666667,16
170,2,False,0.0,0.3125,8.0,32,4,76|78|85|93,40548|44644|53658|63624,0.5,0.5,0.0,0.3333333333333333,16
172,2,False,0.6875,1.0,128.0,32,3,1|2|3,5|17|21,0.5,0.25,0.0,0.5,16
178,2,False,0.8125,1.0,5.0,32,1,19,1056,0.5,0.0,0.0,0.5,16
184,2,False,1.0,1.0,5.0,32,1,19,1056,0.5,0.5,0.0,0.5,16
200,2,False,0.0625,0.9375,128.0,2.875,1,0,1,0.375,0.0,0.0,0.4166666666666667,16
204,2,False,0.0,1.0,128.0,32,4,55|60|77|95,23272|28360|44264|63681,0.5,0.0,0.0,0.3333333333333333,16
232,2,False,0.9375,1.0,128.0,30.25,1,63,32769,0.5,0.0,0.0,0.5,16
