researchStepId,repetitionId,matrixIndex,splitRole,testSeed128,validationSeed128,modelSeedBase,modelSeedCandidate02,modelSeedCandidate03,bootstrapSeed128,candidateFeatureModePairing,outcomeStratified
S16,0,0,FIT,304751720495165974207191749349797001775,22744371319723936588314843478205415178,3492374802122953499,5481665380102598018,6144324987539725998,290548218932931353647064484340130044026,True,False
S16,0,1,FIT,304751720495165974207191749349797001775,22744371319723936588314843478205415178,3492374802122953499,5481665380102598018,6144324987539725998,290548218932931353647064484340130044026,True,False
S16,0,2,TEST,304751720495165974207191749349797001775,22744371319723936588314843478205415178,3492374802122953499,5481665380102598018,6144324987539725998,290548218932931353647064484340130044026,True,False
S16,0,3,FIT,304751720495165974207191749349797001775,22744371319723936588314843478205415178,3492374802122953499,5481665380102598018,6144324987539725998,290548218932931353647064484340130044026,True,False
S16,0,4,VALIDATION,304751720495165974207191749349797001775,22744371319723936588314843478205415178,3492374802122953499,5481665380102598018,6144324987539725998,290548218932931353647064484340130044026,True,False
S16,0,5,FIT,304751720495165974207191749349797001775,22744371319723936588314843478205415178,3492374802122953499,5481665380102598018,6144324987539725998,290548218932931353647064484340130044026,True,False
S16,0,6,FIT,304751720495165974207191749349797001775,22744371319723936588314843478205415178,3492374802122953499,5481665380102598018,6144324987539725998,290548218932931353647064484340130044026,True,False
S16,0,7,FIT,304751720495165974207191749349797001775,22744371319723936588314843478205415178,3492374802122953499,5481665380102598018,6144324987539725998,290548218932931353647064484340130044026,True,False
S16,0,8,TEST,304751720495165974207191749349797001775,22744371319723936588314843478205415178,3492374802122953499,5481665380102598018,6144324987539725998,290548218932931353647064484340130044026,True,False
S16,0,9,FIT,304751720495165974207191749349797001775,22744371319723936588314843478205415178,3492374802122953499,5481665380102598018,6144324987539725998,290548218932931353647064484340130044026,True,False
S16,0,10,FIT,304751720495165974207191749349797001775,22744371319723936588314843478205415178,3492374802122953499,5481665380102598018,6144324987539725998,290548218932931353647064484340130044026,True,False
S16,0,11,VALIDATION,304751720495165974207191749349797001775,22744371319723936588314843478205415178,3492374802122953499,5481665380102598018,6144324987539725998,290548218932931353647064484340130044026,True,False
S16,0,12,FIT,304751720495165974207191749349797001775,22744371319723936588314843478205415178,3492374802122953499,5481665380102598018,6144324987539725998,290548218932931353647064484340130044026,True,False
S16,0,13,FIT,304751720495165974207191749349797001775,22744371319723936588314843478205415178,3492374802122953499,5481665380102598018,6144324987539725998,290548218932931353647064484340130044026,True,False
S16,0,14,FIT,304751720495165974207191749349797001775,22744371319723936588314843478205415178,3492374802122953499,5481665380102598018,6144324987539725998,290548218932931353647064484340130044026,True,False
S16,0,15,VALIDATION,304751720495165974207191749349797001775,22744371319723936588314843478205415178,3492374802122953499,5481665380102598018,6144324987539725998,290548218932931353647064484340130044026,True,False
S16,0,16,FIT,304751720495165974207191749349797001775,22744371319723936588314843478205415178,3492374802122953499,5481665380102598018,6144324987539725998,290548218932931353647064484340130044026,True,False
S16,0,17,VALIDATION,304751720495165974207191749349797001775,22744371319723936588314843478205415178,3492374802122953499,5481665380102598018,6144324987539725998,290548218932931353647064484340130044026,True,False
S16,0,18,FIT,304751720495165974207191749349797001775,22744371319723936588314843478205415178,3492374802122953499,5481665380102598018,6144324987539725998,290548218932931353647064484340130044026,True,False
S16,0,19,FIT,304751720495165974207191749349797001775,22744371319723936588314843478205415178,3492374802122953499,5481665380102598018,6144324987539725998,290548218932931353647064484340130044026,True,False
S16,0,20,TEST,304751720495165974207191749349797001775,22744371319723936588314843478205415178,3492374802122953499,5481665380102598018,6144324987539725998,290548218932931353647064484340130044026,True,False
S16,0,21,FIT,304751720495165974207191749349797001775,22744371319723936588314843478205415178,3492374802122953499,5481665380102598018,6144324987539725998,290548218932931353647064484340130044026,True,False
S16,0,22,FIT,304751720495165974207191749349797001775,22744371319723936588314843478205415178,3492374802122953499,5481665380102598018,6144324987539725998,290548218932931353647064484340130044026,True,False
S16,0,23,FIT,304751720495165974207191749349797001775,22744371319723936588314843478205415178,3492374802122953499,5481665380102598018,6144324987539725998,290548218932931353647064484340130044026,True,False
S16,0,24,FIT,304751720495165974207191749349797001775,22744371319723936588314843478205415178,3492374802122953499,5481665380102598018,6144324987539725998,290548218932931353647064484340130044026,True,False
S16,0,25,TEST,304751720495165974207191749349797001775,22744371319723936588314843478205415178,3492374802122953499,5481665380102598018,6144324987539725998,290548218932931353647064484340130044026,True,False
S16,0,26,VALIDATION,304751720495165974207191749349797001775,22744371319723936588314843478205415178,3492374802122953499,5481665380102598018,6144324987539725998,290548218932931353647064484340130044026,True,False
S16,0,27,FIT,304751720495165974207191749349797001775,22744371319723936588314843478205415178,3492374802122953499,5481665380102598018,6144324987539725998,290548218932931353647064484340130044026,True,False
S16,0,28,TEST,304751720495165974207191749349797001775,22744371319723936588314843478205415178,3492374802122953499,5481665380102598018,6144324987539725998,290548218932931353647064484340130044026,True,False
S16,0,29,TEST,304751720495165974207191749349797001775,22744371319723936588314843478205415178,3492374802122953499,5481665380102598018,6144324987539725998,290548218932931353647064484340130044026,True,False
S16,0,30,VALIDATION,304751720495165974207191749349797001775,22744371319723936588314843478205415178,3492374802122953499,5481665380102598018,6144324987539725998,290548218932931353647064484340130044026,True,False
S16,0,31,VALIDATION,304751720495165974207191749349797001775,22744371319723936588314843478205415178,3492374802122953499,5481665380102598018,6144324987539725998,290548218932931353647064484340130044026,True,False
S16,0,32,FIT,304751720495165974207191749349797001775,22744371319723936588314843478205415178,3492374802122953499,5481665380102598018,6144324987539725998,290548218932931353647064484340130044026,True,False
S16,0,33,TEST,304751720495165974207191749349797001775,22744371319723936588314843478205415178,3492374802122953499,5481665380102598018,6144324987539725998,290548218932931353647064484340130044026,True,False
S16,0,34,FIT,304751720495165974207191749349797001775,22744371319723936588314843478205415178,3492374802122953499,5481665380102598018,6144324987539725998,290548218932931353647064484340130044026,True,False
S16,0,35,TEST,304751720495165974207191749349797001775,22744371319723936588314843478205415178,3492374802122953499,5481665380102598018,6144324987539725998,290548218932931353647064484340130044026,True,False
S16,0,36,FIT,304751720495165974207191749349797001775,22744371319723936588314843478205415178,3492374802122953499,5481665380102598018,6144324987539725998,290548218932931353647064484340130044026,True,False
S16,0,37,FIT,304751720495165974207191749349797001775,22744371319723936588314843478205415178,3492374802122953499,5481665380102598018,6144324987539725998,290548218932931353647064484340130044026,True,False
S16,0,38,FIT,304751720495165974207191749349797001775,22744371319723936588314843478205415178,3492374802122953499,5481665380102598018,6144324987539725998,290548218932931353647064484340130044026,True,False
S16,0,39,FIT,304751720495165974207191749349797001775,22744371319723936588314843478205415178,3492374802122953499,5481665380102598018,6144324987539725998,290548218932931353647064484340130044026,True,False
S16,0,40,FIT,304751720495165974207191749349797001775,22744371319723936588314843478205415178,3492374802122953499,5481665380102598018,6144324987539725998,290548218932931353647064484340130044026,True,False
S16,0,41,FIT,304751720495165974207191749349797001775,22744371319723936588314843478205415178,3492374802122953499,5481665380102598018,6144324987539725998,290548218932931353647064484340130044026,True,False
S16,0,42,FIT,304751720495165974207191749349797001775,22744371319723936588314843478205415178,3492374802122953499,5481665380102598018,6144324987539725998,290548218932931353647064484340130044026,True,False
S16,0,43,FIT,304751720495165974207191749349797001775,22744371319723936588314843478205415178,3492374802122953499,5481665380102598018,6144324987539725998,290548218932931353647064484340130044026,True,False
S16,0,44,FIT,304751720495165974207191749349797001775,22744371319723936588314843478205415178,3492374802122953499,5481665380102598018,6144324987539725998,290548218932931353647064484340130044026,True,False
