candidate,matrix_id,grid_id,beta_multiplier,leave_multiplier,kind,arm,occupancy,maximum_residence,completion,same_static_f8,cross_static_f8,same_phase_f8,cross_phase_f8,capture_f8,static_signal_f8,phase_signal_f8,same_static_f16,cross_static_f16,same_phase_f16,cross_phase_f16,capture_f16,static_signal_f16,phase_signal_f16,same_static_f32,cross_static_f32,same_phase_f32,cross_phase_f32,capture_f32,static_signal_f32,phase_signal_f32
02,0,b1p0_l1p0,1.0,1.0,strict_extension,control,0.767578125,16.421875,1.0,0.8864980251637524,0.8925018130799512,0.9015983753175223,0.9033123078538963,0.390625,-0.006003787916198822,-0.0017139325363739744,0.8270455086046214,0.8417143743876534,0.850981518054363,0.8494027118112436,0.34375,-0.014668865783031948,0.0015788062431193461,0.8076287430025975,0.817067224514107,0.849692956583747,0.8425293748409316,0.171875,-0.0094384815115095,0.007163581742815395
02,0,b1p0_l1p0,1.0,1.0,strict_extension,quench,0.73486328125,14.703125,1.0,0.8237497965095545,0.8407506910031178,0.8632174778768102,0.8837806856878117,0.359375,-0.017000894493563345,-0.020563207811001405,0.8127287714212199,0.827914762315964,0.8009781345449148,0.8153692196500655,0.21875,-0.01518599089474404,-0.014391085105150636,0.7880399189672206,0.8097755036080793,0.854809890607978,0.8407394579542982,0.203125,-0.021735584640858674,0.014070432653679799
02,0,b1p0_l1p0,1.0,1.0,strict_extension,wave,0.845703125,16.6875,1.0,0.863870665727573,0.8620545102398783,0.920311380440997,0.9098083799509407,0.28125,0.0018161554876946484,0.010503000490056369,0.843901505645877,0.8463863925968951,0.8947822729963633,0.8942174660011244,0.25,-0.002484886951018117,0.0005648069952388646,0.8873433214663133,0.9019602375407757,0.8878897001411693,0.8903192886547517,0.171875,-0.01461691607446236,-0.002429588513582437
02,0,b1p0_l1p0,1.0,1.0,strict_extension,quench_wave,0.8154296875,16.140625,1.0,0.8806806840999342,0.8651145092845111,0.9164596366423384,0.902932995799512,0.1875,0.015566174815423106,0.013526640842826398,0.8460588357805447,0.8674487764048416,0.8600063336148436,0.8721679195793037,0.15625,-0.021389940624296888,-0.012161585964460153,0.8253515717479608,0.8364592018855641,0.8480970129789708,0.8607027536122455,0.140625,-0.011107630137603297,-0.012605740633274687
02,0,b1p0_l1p0,1.0,1.0,strict_extension,quench_static,0.8447265625,15.734375,1.0,0.8857417891181819,0.8926870069360782,0.9047463713526771,0.9110821844027954,0.25,-0.006945217817896254,-0.006335813050118322,0.8310983656375219,0.8045425837045374,0.9011240026526671,0.895952306613299,0.0625,0.02655578193298458,0.005171696039368068,0.8111370936366284,0.7757170462603407,0.886939449440816,0.875763917142893,0.140625,0.03542004737628779,0.011175532297923008
02,0,b1p0_l1p0,1.0,1.0,strict_extension,quench_shuffled,0.73193359375,14.59375,1.0,0.7816364313483787,0.8086888316057033,0.8849206109750815,0.8951292717645436,0.21875,-0.027052400257324583,-0.010208660789462143,0.8121844697256833,0.8595472783545945,0.8373151156628971,0.8412218194672816,0.21875,-0.04736280862891129,-0.003906703804384515,0.7649154122336941,0.7993098381972601,0.8378848244533388,0.8387081569745101,0.1875,-0.03439442596356601,-0.0008233325211712827
02,0,b1p0_l1p0,1.0,1.0,strict_extension,quench_phase_pi,0.8193359375,15.609375,1.0,0.8646430974911792,0.8351528517375094,0.920631325569645,0.9239528916939597,0.203125,0.029490245753669764,-0.0033215661243146677,0.9040826772813718,0.8954190438736633,0.880129756274896,0.8844688487390018,0.15625,0.008663633407708482,-0.004339092464105798,0.8249103621312354,0.8176110777872385,0.8432878068232552,0.8378431116320046,0.203125,0.007299284343996848,0.00544469519125057
02,0,b1p0_l1p0,1.0,1.0,strict_extension,pulse_release,0.7685546875,14.5,1.0,0.8246553351112254,0.8226833497343675,0.917552100467902,0.914738075901343,0.203125,0.001971985376857832,0.0028140245665589925,0.839650473073679,0.8568294851047933,0.8613515532971872,0.861527103132248,0.234375,-0.01717901203111427,-0.00017554983506085087,0.7710100475839319,0.7488836073079954,0.8077341945115804,0.8109649485512727,0.21875,0.022126440275936465,-0.0032307540396923073
02,0,b1p0_l1p0,1.0,1.0,f12_only,control,0.7451171875,14.546875,1.0,0.8634326982018948,0.8276893703679545,0.8830013037431269,0.8686689648631423,0.328125,0.0357433278339403,0.01433233887998464,0.7837508350058602,0.8173147748153009,0.8534711853083448,0.8584332931527421,0.234375,-0.033563939809440724,-0.004962107844397323,0.7837321014998588,0.7818657321416698,0.8515247157518127,0.8479988778704322,0.21875,0.0018663693581890684,0.0035258378813805002
02,0,b1p0_l1p0,1.0,1.0,f12_only,quench,0.748046875,12.8125,1.0,0.8732725966097785,0.8730553406915585,0.9314484952406294,0.9205407922265534,0.28125,0.0002172559182199718,0.010907703014076064,0.8433075929105214,0.8172413883644416,0.8636158140451774,0.8589713260104954,0.21875,0.026066204546079774,0.004644488034681982,0.8030259115440658,0.7995550228391147,0.8303662817033319,0.8264599654165521,0.21875,0.0034708887049510473,0.003906316286779843
02,0,b1p0_l1p0,1.0,1.0,f12_only,wave,0.78515625,13.90625,1.0,0.8636755680163708,0.8526176122378579,0.8775522181346357,0.8692893584496755,0.21875,0.011057955778512873,0.008262859684960211,0.8801118200487813,0.8886005744596361,0.9104685721327204,0.9040968865660245,0.21875,-0.008488754410854837,0.006371685566695873,0.8802965578049529,0.849318010841515,0.9076395395215255,0.9086913082532329,0.21875,0.030978546963437825,-0.0010517687317073143
02,0,b1p0_l1p0,1.0,1.0,f12_only,quench_wave,0.728515625,12.515625,1.0,0.8146722152553438,0.8285312138674346,0.874493279803697,0.8837881558881188,0.234375,-0.013858998612090723,-0.00929487608442181,0.828570984053901,0.8389788298776977,0.8623118596856574,0.8461204909512239,0.109375,-0.010407845823796724,0.016191368734433498,0.8728046496635327,0.8721558569280798,0.8948755649032716,0.8898592172359601,0.1875,0.0006487927354528189,0.005016347667311516
02,0,b1p0_l1p0,1.0,1.0,f12_only,quench_static,0.7861328125,13.375,1.0,0.915438984642592,0.9206267133434267,0.9029562196433323,0.8967529320119058,0.1875,-0.005187728700834726,0.006203287631426524,0.8019359264188815,0.8040287475025735,0.8697604041959837,0.8746918461270866,0.140625,-0.0020928210836920202,-0.004931441931102953,0.8722408438857894,0.8741013254646288,0.8970466357673965,0.8974274861134676,0.140625,-0.0018604815788394458,-0.00038085034607104884
02,0,b1p0_l1p0,1.0,1.0,f12_only,quench_shuffled,0.72802734375,13.296875,1.0,0.854477319632133,0.8594937672403632,0.8810275982665337,0.874124264634915,0.21875,-0.005016447608230168,0.006903333631618658,0.7705031677864618,0.7768077791782849,0.842041767470846,0.8290281078660087,0.109375,-0.006304611391823145,0.013013659604837358,0.8209059011509199,0.8265834262541316,0.8554221265204105,0.8433579258413644,0.265625,-0.0056775251032117335,0.012064200679046122
02,0,b1p0_l1p0,1.0,1.0,f12_only,quench_phase_pi,0.755859375,13.25,1.0,0.8893015465124691,0.9021782164529984,0.9198719664982513,0.9027657207162691,0.265625,-0.012876669940529384,0.017106245781982166,0.817715015491173,0.8416407076238237,0.8587921026009042,0.8597635521997188,0.1875,-0.023925692132650722,-0.0009714495988145666,0.8320514162193411,0.8657390229337202,0.8515423656512529,0.8663885447546459,0.125,-0.03368760671437909,-0.014846179103393031
02,0,b1p0_l1p0,1.0,1.0,f12_only,pulse_release,0.74658203125,13.609375,1.0,0.8894261820209353,0.8600348218724913,0.925385837703964,0.9115871788385252,0.140625,0.029391360148444012,0.01379865886543874,0.8447782858039081,0.8506630455560567,0.8683538549470411,0.8547411392583107,0.171875,-0.005884759752148527,0.013612715688730348,0.889572757500473,0.8839965131610443,0.8957747565647138,0.8891098210994137,0.21875,0.005576244339428715,0.006664935465300115
02,0,b2p0_l2p0,2.0,2.0,strict_extension,control,0.82080078125,18.1875,1.0,0.8598371119251524,0.8968040029624075,0.8929004001899795,0.9096670167007604,0.25,-0.036966891037255034,-0.01676661651078093,0.8893182865492355,0.8953548794257482,0.8834586155027416,0.8872748599792989,0.21875,-0.006036592876512703,-0.0038162444765572623,0.8241948284583227,0.8327460496852923,0.8440175075102878,0.8539941070045214,0.25,-0.008551221226969608,-0.009976599494233573
02,0,b2p0_l2p0,2.0,2.0,strict_extension,quench,0.759765625,14.65625,1.0,0.7965562909363806,0.7975581984409499,0.912792912251519,0.9029370762446549,0.3125,-0.0010019075045692993,0.009855836006864127,0.8564969568154489,0.8560902821203678,0.8258410512728106,0.8250837170874825,0.21875,0.00040667469508115506,0.0007573341853280846,0.8564774318724389,0.84763715295141,0.8265033759105815,0.8258717083843542,0.171875,0.008840278921028899,0.0006316675262273419
02,0,b2p0_l2p0,2.0,2.0,strict_extension,wave,0.86181640625,17.84375,1.0,0.865821263125271,0.8594452403977957,0.9090475085483049,0.9130020111702144,0.171875,0.006376022727475283,-0.00395450262190955,0.8581369605669604,0.8702199839511069,0.9023596183469017,0.9052902920522603,0.109375,-0.012083023384146463,-0.0029306737053585996,0.8601563377444155,0.8609397164805265,0.9057975944869716,0.9075633736678483,0.15625,-0.0007833787361110067,-0.0017657791808767254
