candidate,matrix_id,setting_id,grid_id,arm,terminal8_rate,carrier_origin_accuracy,has_other,completion
02,88,k008_l01_u2p0_nominal,b1p0_l0p5,correct,0.0625,,0,1.0
02,88,k008_l01_u2p0_nominal,b1p0_l0p5,zero,0.0,,0,1.0
02,88,k008_l01_u2p0_nominal,b1p0_l0p5,shuffled,0.0,,0,1.0
02,88,k008_l01_u2p0_nominal,b2p0_l2p0,correct,0.0,,0,1.0
02,88,k008_l01_u2p0_nominal,b2p0_l2p0,zero,0.0,,0,1.0
02,88,k008_l01_u2p0_nominal,b2p0_l2p0,shuffled,0.0625,,0,1.0
02,88,k008_l01_u2p0_nominal,b4p0_l2p0,correct,0.0,,0,1.0
02,88,k008_l01_u2p0_nominal,b4p0_l2p0,zero,0.0625,,0,1.0
02,88,k008_l01_u2p0_nominal,b4p0_l2p0,shuffled,0.0,,0,1.0
02,88,k008_l08_u2p0_ideal,b1p0_l0p5,correct,0.0,,0,1.0
02,88,k008_l08_u2p0_ideal,b1p0_l0p5,zero,0.0625,,0,1.0
02,88,k008_l08_u2p0_ideal,b1p0_l0p5,shuffled,0.0,,0,1.0
02,88,k008_l08_u2p0_ideal,b2p0_l2p0,correct,0.0,,0,1.0
02,88,k008_l08_u2p0_ideal,b2p0_l2p0,zero,0.0,,0,1.0
02,88,k008_l08_u2p0_ideal,b2p0_l2p0,shuffled,0.0,,0,1.0
02,88,k008_l08_u2p0_ideal,b4p0_l2p0,correct,0.0,,0,1.0
02,88,k008_l08_u2p0_ideal,b4p0_l2p0,zero,0.0,,0,1.0
02,88,k008_l08_u2p0_ideal,b4p0_l2p0,shuffled,0.0,,0,1.0
02,110,k008_l01_u2p0_nominal,b1p0_l0p5,correct,0.0,,0,1.0
02,110,k008_l01_u2p0_nominal,b1p0_l0p5,zero,0.0,,0,1.0
02,110,k008_l01_u2p0_nominal,b1p0_l0p5,shuffled,0.0,,0,1.0
02,110,k008_l01_u2p0_nominal,b2p0_l2p0,correct,0.0,,0,1.0
02,110,k008_l01_u2p0_nominal,b2p0_l2p0,zero,0.0,,0,1.0
02,110,k008_l01_u2p0_nominal,b2p0_l2p0,shuffled,0.0,,0,1.0
02,110,k008_l01_u2p0_nominal,b4p0_l2p0,correct,0.0,,0,1.0
02,110,k008_l01_u2p0_nominal,b4p0_l2p0,zero,0.0,,0,1.0
02,110,k008_l01_u2p0_nominal,b4p0_l2p0,shuffled,0.0,,0,1.0
02,110,k008_l08_u2p0_ideal,b1p0_l0p5,correct,0.0,,0,1.0
02,110,k008_l08_u2p0_ideal,b1p0_l0p5,zero,0.0,,0,1.0
02,110,k008_l08_u2p0_ideal,b1p0_l0p5,shuffled,0.0,,0,1.0
02,110,k008_l08_u2p0_ideal,b2p0_l2p0,correct,0.0,,0,1.0
02,110,k008_l08_u2p0_ideal,b2p0_l2p0,zero,0.0,,0,1.0
02,110,k008_l08_u2p0_ideal,b2p0_l2p0,shuffled,0.0,,0,1.0
02,110,k008_l08_u2p0_ideal,b4p0_l2p0,correct,0.0,,0,1.0
02,110,k008_l08_u2p0_ideal,b4p0_l2p0,zero,0.0,,0,1.0
02,110,k008_l08_u2p0_ideal,b4p0_l2p0,shuffled,0.0,,0,1.0
02,179,k008_l01_u2p0_nominal,b1p0_l0p5,correct,0.0,,0,1.0
02,179,k008_l01_u2p0_nominal,b1p0_l0p5,zero,0.0,,0,1.0
02,179,k008_l01_u2p0_nominal,b1p0_l0p5,shuffled,0.0,,0,1.0
02,179,k008_l01_u2p0_nominal,b2p0_l2p0,correct,0.0,,0,1.0
02,179,k008_l01_u2p0_nominal,b2p0_l2p0,zero,0.0,,0,1.0
02,179,k008_l01_u2p0_nominal,b2p0_l2p0,shuffled,0.0,,0,1.0
02,179,k008_l01_u2p0_nominal,b4p0_l2p0,correct,0.0,,0,1.0
02,179,k008_l01_u2p0_nominal,b4p0_l2p0,zero,0.0,,0,1.0
02,179,k008_l01_u2p0_nominal,b4p0_l2p0,shuffled,0.0,,0,1.0
