candidate,matrix_id,grid_id,f12_rate,strict8_rate,break_rate,mean_break_time,within8_h,cross_lineage_h,terminal_clusters_h90,completion
02,0,b1p0_l0p5,0.46875,0.125,0.8125,7.923076923076923,0.7222292061729734,0.5208074543356046,22,1.0
02,0,b2p0_l2p0,0.5625,0.03125,0.78125,7.28,0.6769672916220953,0.4486355882420774,28,1.0
02,0,b4p0_l2p0,0.5,0.0,0.75,7.333333333333333,0.723526877574411,0.5250751579854284,21,1.0
02,0,b1p0_l1p0,0.5625,0.03125,0.84375,7.2592592592592595,0.6946295805084652,0.42755135660899374,24,1.0
02,1,b1p0_l0p5,0.75,0.0,0.96875,3.903225806451613,0.57196536596631,0.31741544171375935,32,1.0
02,1,b2p0_l2p0,0.90625,0.0,1.0,3.0,0.5619961489303553,0.3397914050215758,30,1.0
02,1,b4p0_l2p0,0.875,0.0,1.0,2.6875,0.5658232098458068,0.4027354366850429,31,1.0
02,1,b1p0_l1p0,0.84375,0.0,1.0,2.71875,0.6051965207432595,0.3340705127061241,31,1.0
02,2,b1p0_l0p5,0.90625,0.90625,0.90625,1.103448275862069,0.9765529676262494,0.9759500019264378,1,1.0
02,2,b2p0_l2p0,0.78125,0.15625,0.84375,1.1851851851851851,0.9018706458058204,0.8705520122377838,9,1.0
02,2,b4p0_l2p0,0.90625,0.09375,0.90625,1.0344827586206897,0.8896232295626433,0.8800956732238713,8,1.0
02,2,b1p0_l1p0,0.96875,0.84375,0.96875,1.032258064516129,0.9504439808790682,0.9504604306516645,2,1.0
02,3,b1p0_l0p5,0.875,0.0,1.0,2.875,0.6396381225987325,0.42312783756357136,32,1.0
02,3,b2p0_l2p0,0.84375,0.0,1.0,2.25,0.6312965744821282,0.4812820011521336,31,1.0
02,3,b4p0_l2p0,0.9375,0.0,1.0,1.75,0.6261794238329981,0.4740074025226054,30,1.0
02,3,b1p0_l1p0,0.9375,0.0,1.0,1.96875,0.6171148439258032,0.4248400138640931,32,1.0
02,4,b1p0_l0p5,0.59375,0.15625,0.78125,4.24,0.7944413981771131,0.624874500115914,18,1.0
02,4,b2p0_l2p0,0.625,0.0,0.8125,6.538461538461538,0.720840664748253,0.5452949144459682,25,1.0
02,4,b4p0_l2p0,0.78125,0.0,0.84375,4.703703703703703,0.7360304157017079,0.6344580002886692,22,1.0
02,4,b1p0_l1p0,0.625,0.125,0.71875,4.826086956521739,0.8079823392413497,0.6312411239560584,15,1.0
02,5,b1p0_l0p5,0.21875,0.03125,0.53125,9.705882352941176,0.7127477014229556,0.6024466052705644,20,1.0
02,5,b2p0_l2p0,0.4375,0.0,0.8125,8.76923076923077,0.731981590142424,0.5677211419814785,21,1.0
02,5,b4p0_l2p0,0.46875,0.0,0.75,8.916666666666666,0.7539737857743085,0.6150799425762545,23,1.0
02,5,b1p0_l1p0,0.5,0.0,0.65625,7.571428571428571,0.7230711110506906,0.6326860780397818,20,1.0
02,6,b1p0_l0p5,0.875,0.0,1.0,3.0,0.6262006719312763,0.4508659856753933,28,1.0
02,6,b2p0_l2p0,0.9375,0.0,1.0,2.125,0.6225917213732018,0.368959897176589,32,1.0
02,6,b4p0_l2p0,0.84375,0.0,1.0,3.1875,0.6128286970963222,0.40431540795500837,30,1.0
02,6,b1p0_l1p0,0.75,0.0,1.0,4.28125,0.6105384495723969,0.37361178626727815,31,1.0
02,7,b1p0_l0p5,0.59375,0.03125,0.84375,7.444444444444445,0.6789069394434213,0.3756477680992642,22,1.0
02,7,b2p0_l2p0,0.71875,0.0,0.90625,6.172413793103448,0.6590035056729688,0.45683627260697907,25,1.0
02,7,b4p0_l2p0,0.75,0.0,0.96875,6.580645161290323,0.6339327089080327,0.3837819428041451,29,1.0
02,7,b1p0_l1p0,0.65625,0.03125,0.9375,5.766666666666667,0.6386261268986733,0.34976069805137816,25,1.0
02,8,b1p0_l0p5,0.84375,0.0,1.0,3.1875,0.6455827970574157,0.45564435599748626,28,1.0
02,8,b2p0_l2p0,0.84375,0.0,1.0,3.59375,0.6377609820836552,0.49570677658838813,32,1.0
02,8,b4p0_l2p0,0.875,0.0,1.0,3.46875,0.6533802319473109,0.4498043830417027,31,1.0
02,8,b1p0_l1p0,0.78125,0.0,1.0,3.40625,0.6246891018204292,0.4483784890884284,32,1.0
02,9,b1p0_l0p5,0.59375,0.28125,0.75,6.375,0.7931703592270971,0.41339730267141783,17,1.0
02,9,b2p0_l2p0,0.625,0.0,0.9375,6.866666666666666,0.7151398468776955,0.4260812676578168,29,1.0
02,9,b4p0_l2p0,0.46875,0.0,0.6875,8.090909090909092,0.7249313858705198,0.42343994884678066,24,1.0
02,9,b1p0_l1p0,0.59375,0.125,0.6875,4.7727272727272725,0.8308189832842232,0.5627446338903332,13,1.0
02,10,b1p0_l0p5,0.3125,0.125,0.5625,10.38888888888889,0.664547345073073,0.5256525215133607,10,1.0
